City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tondano,1.3038,124.9112,21.05,94,52,1.64,ID,1691514137
1,ribeira brava,32.65,-17.0667,27.35,61,0,3.38,PT,1691514138
2,mili,6.0815,171.735,27.21,81,100,5.08,MH,1691514140
3,oppdal,62.5943,9.6912,13.59,96,100,2.52,NO,1691514141
4,helena valley west central,46.6629,-112.0604,22.62,57,2,1.79,US,1691514142
5,kalmunai,7.4167,81.8167,28.29,73,99,2.13,LK,1691514143
6,puerto natales,-51.7236,-72.4875,2.96,67,78,0.14,CL,1691514088
7,ilulissat,69.2167,-51.1,10.01,53,40,1.54,GL,1691514145
8,lukolela,-1.0605,17.1821,25.4,68,79,1.38,CD,1691514145
9,khandyga,62.6667,135.6,9.81,64,66,1.04,RU,1691514147
10,georgetown,5.4112,100.3354,25.01,97,20,1.54,MY,1691514082
11,kismayo,-0.3582,42.5454,24.56,82,5,7.13,SO,1691514149
12,qarqin,37.4185,66.0436,33.77,17,62,4.64,AF,1691514150
13,uturoa,-16.7333,-151.4333,25.4,78,79,1.71,PF,1691514151
14,adamstown,-25.066,-130.1015,22.27,87,98,12.56,PN,1691514152
15,badger,64.8,-147.5333,16.01,92,100,1.07,US,1691514153
16,port-aux-francais,-49.35,70.2167,0.94,80,92,13.9,TF,1691514154
17,port mathurin,-19.6833,63.4167,22.67,71,19,9.44,MU,1691514155
18,afaahiti,-17.75,-149.2833,22.93,76,50,4.41,PF,1691514156
19,kolonia town,6.964,158.206,27.16,80,100,6.89,FM,1691514157
20,nadi,-17.8,177.4167,21.0,88,75,1.54,FJ,1691514158
21,salinopolis,-0.6136,-47.3561,28.37,74,61,5.95,BR,1691514131
22,bethel,41.3712,-73.414,27.49,70,100,5.66,US,1691513942
23,sola,-13.8833,167.55,24.74,83,100,8.46,VU,1691514082
24,mejit,10.2753,170.8646,28.01,76,78,6.75,MH,1691514162
25,invercargill,-46.4,168.35,3.34,94,99,2.68,NZ,1691514163
26,aasiaat,68.7098,-52.8699,3.95,72,32,2.24,GL,1691514165
27,punta arenas,-53.15,-70.9167,2.84,74,99,0.48,CL,1691514166
28,iskateley,67.6803,53.1512,12.29,64,77,3.1,RU,1691514168
29,jamestown,42.097,-79.2353,23.07,68,75,11.32,US,1691513988
30,west island,-12.1568,96.8225,25.99,83,40,6.69,CC,1691514171
31,rikaze,29.25,88.8833,17.63,52,100,2.89,CN,1691514171
32,kodinsk,58.6881,99.1844,14.77,77,3,0.8,RU,1691514172
33,olovyannaya,50.95,115.5667,15.87,61,37,1.53,RU,1691514173
34,shchyolkino,45.4291,35.8223,26.52,59,1,0.18,UA,1691514174
35,blackmans bay,-43.0167,147.3167,4.18,93,54,2.63,AU,1691514175
36,besisahar,28.2313,84.3761,24.05,97,100,0.33,NP,1691514176
37,albany,42.6001,-73.9662,24.23,86,100,2.55,US,1691514133
38,shimoda,34.6667,138.95,26.17,90,62,2.58,JP,1691514178
39,nemuro,43.3236,145.575,17.74,100,100,3.59,JP,1691514179
40,grytviken,-54.2811,-36.5092,-3.82,82,32,3.98,GS,1691514180
41,ribeira grande,38.5167,-28.7,24.87,78,40,5.81,PT,1691514181
42,hadibu,12.65,54.0333,26.0,77,57,8.25,YE,1691514182
43,olonkinbyen,70.9221,-8.7187,4.79,91,100,6.47,SJ,1691514183
44,saipan,15.1355,145.701,27.39,100,0,1.54,MP,1691514184
45,edinburgh of the seven seas,-37.0676,-12.3116,15.02,86,64,18.45,SH,1691514185
46,val-d'or,48.1002,-77.7828,20.05,73,75,7.72,CA,1691514187
47,chhibramau,27.1483,79.4979,30.89,59,100,6.02,IN,1691514077
48,tofol,5.3248,163.0078,26.63,82,93,3.76,FM,1691514188
49,nova sintra,14.8667,-24.7167,22.54,74,10,7.38,CV,1691514189
50,chonchi,-42.6128,-73.8092,10.07,94,100,2.01,CL,1691514190
51,waitangi,-43.9535,-176.5597,8.79,96,100,0.89,NZ,1691514191
52,thompson,55.7435,-97.8558,11.09,93,100,6.17,CA,1691514192
53,castuera,38.732,-5.5439,42.54,12,60,4.4,ES,1691514193
54,talnakh,69.4865,88.3972,18.45,62,92,0.23,RU,1691514194
55,bizerte,37.2744,9.8739,27.0,50,0,7.2,TN,1691514195
56,coahuayana de hidalgo,18.7,-103.6583,32.91,60,26,1.71,MX,1691514196
57,yellowknife,62.456,-114.3525,18.29,63,20,7.72,CA,1691513997
58,moranbah,-22.0016,148.0466,13.24,91,2,3.01,AU,1691514198
59,antigonish,45.6169,-61.9986,22.3,73,99,3.58,CA,1691514199
60,sao jose da coroa grande,-8.8978,-35.1478,24.98,83,83,5.08,BR,1691514200
61,nikolayevsk-on-amure,53.1406,140.73,12.74,93,99,1.63,RU,1691514201
62,tiksi,71.6872,128.8694,9.95,73,24,0.69,RU,1691514202
63,puerto aysen,-45.4,-72.7,10.02,71,75,3.09,CL,1691514203
64,iqaluit,63.7506,-68.5145,6.85,87,40,5.66,CA,1691514082
65,iwon-up,40.3231,128.6553,21.53,90,95,0.58,KP,1691514205
66,ambovombe,-25.1667,46.0833,20.32,84,5,5.99,MG,1691514207
67,el jadid,33.2549,-8.506,24.45,78,69,3.47,MA,1691514208
